gyro_x,gyro_y,gyro_z,timestamp,firebase_key
-0.55,0.0,0.31,2025-08-22 09:02:39.091755+00:00,-OYG0-Vo15CLM-BCL3h9
-0.49,0.0,0.31,2025-08-22 09:02:40.094029+00:00,-OYG0-jzoDgIVtYBMhdI
-0.55,0.0,0.37,2025-08-22 09:02:41.096308+00:00,-OYG00-WQZ9yVBiy82Wz
-0.49,0.0,0.31,2025-08-22 09:02:42.098487+00:00,-OYG00ERASXQMryQA0O8
-0.55,0.0,0.31,2025-08-22 09:02:43.100742+00:00,-OYG00TsbWQdA_3ir6PJ
-0.49,-0.06,0.31,2025-08-22 09:02:44.103123+00:00,-OYG00ipOGqdddPlwCSf
-0.49,0.0,0.31,2025-08-22 09:02:45.105347+00:00,-OYG00ydAU6my5moLz_5
-0.49,0.0,0.37,2025-08-22 09:02:46.107503+00:00,-OYG01CkI3kq1Jh-Zdzj
-0.49,0.0,0.31,2025-08-22 09:02:47.109686+00:00,-OYG01SVgHdLPd_sLzsz
-0.55,0.0,0.37,2025-08-22 09:02:48.111949+00:00,-OYG01hBQbSIF9chyrHQ
-0.55,0.0,0.31,2025-08-22 09:02:49.114168+00:00,-OYG01xL-7h9lX1ORNIe
-0.55,0.0,0.37,2025-08-22 09:02:50.116313+00:00,-OYG02BdtbsiNvL97Ua1
-0.49,0.0,0.37,2025-08-22 09:02:51.118467+00:00,-OYG02RPR-9b2ynDAXbV
-0.55,0.0,0.31,2025-08-22 09:02:52.120836+00:00,-OYG02fyPgIDtKsv1lX7
-0.49,0.0,0.31,2025-08-22 09:02:53.122883+00:00,-OYG02v_K4eU7LTWysUV
-0.55,0.0,0.31,2025-08-22 09:02:54.125130+00:00,-OYG03APO5u6iZdq-0fj
-0.55,0.0,0.37,2025-08-22 09:02:55.127611+00:00,-OYG03R0Uy9JkH9HDqn1
-0.55,-0.06,0.31,2025-08-22 09:02:56.129878+00:00,-OYG03fZc9-3cplgyXAq
-0.55,0.0,0.31,2025-08-22 09:02:57.132040+00:00,-OYG03uJsrxO3C5JIaHk
-0.55,0.0,0.37,2025-08-22 09:02:58.134226+00:00,-OYG048uFegTSv91TfpJ
-0.49,0.0,0.31,2025-08-22 09:02:59.136399+00:00,-OYG04OryBxX2uererwS
-0.49,0.0,0.37,2025-08-22 09:03:00.138575+00:00,-OYG04dH1Gfmzaw3Ijkb
-0.55,0.0,0.31,2025-08-22 09:03:01.140750+00:00,-OYG04t3mLPmt6iu0AI6
-0.55,0.0,0.31,2025-08-22 09:03:02.142901+00:00,-OYG057MOnJo3PeDLgYN
-0.49,0.0,0.31,2025-08-22 09:03:03.145150+00:00,-OYG05NToLq7IFZgAZ72
-0.67,0.0,0.37,2025-08-22 09:03:04.147316+00:00,-OYG05c6JsGR01H5e9jp
-0.55,0.0,0.31,2025-08-22 09:03:05.149616+00:00,-OYG05rg1RSEGhprlsQd
-0.55,0.0,0.37,2025-08-22 09:03:06.151961+00:00,-OYG06ANIMKrSTYe3bWk
-0.43,0.06,0.37,2025-08-22 09:03:07.154045+00:00,-OYG06MCYahcZk-z9Ud7
-0.55,0.0,0.31,2025-08-22 09:03:08.156239+00:00,-OYG06arVy-sqayWA2xR
-0.49,0.0,0.31,2025-08-22 09:03:09.158462+00:00,-OYG06qKuZJ4Xt1H3ELw
-0.49,0.0,0.31,2025-08-22 09:03:10.160674+00:00,-OYG074gDNIlXNnckvtX
-0.55,0.0,0.31,2025-08-22 09:03:11.162893+00:00,-OYG07KMpqGzvTZlGpZY
-0.55,0.0,0.31,2025-08-22 09:03:12.165029+00:00,-OYG07Zvb81tYPTz5aZ0
-0.55,0.0,0.37,2025-08-22 09:03:13.167522+00:00,-OYG07obgtp3bzr8rUPn
-0.55,0.0,0.31,2025-08-22 09:03:14.169439+00:00,-OYG083JnetaoDPTc5E3
-0.49,0.0,0.31,2025-08-22 09:03:15.171613+00:00,-OYG08IrK2nWJELlCaGQ
-0.49,0.0,0.37,2025-08-22 09:03:16.173887+00:00,-OYG08YdE81PlTL6iKG7
-0.55,0.0,0.31,2025-08-22 09:03:17.176252+00:00,-OYG08n_RfFy7Hf9RVGI
-0.55,0.0,0.37,2025-08-22 09:03:18.178443+00:00,-OYG092soivaUd8ZSDzh
-0.49,0.0,0.37,2025-08-22 09:03:19.180576+00:00,-OYG09H_f905UMBRXIv9
-0.55,0.0,0.31,2025-08-22 09:03:20.182810+00:00,-OYG09XFFG06dWjvjCqp
-0.55,0.06,0.37,2025-08-22 09:03:21.185018+00:00,-OYG09m-bKicTmA1GbrV
-0.55,0.06,0.31,2025-08-22 09:03:22.187194+00:00,-OYG0A0accrOH1sAJaKK
-0.55,0.0,0.31,2025-08-22 09:03:23.189402+00:00,-OYG0AG6Emr11jM3egc8
-0.55,0.0,0.31,2025-08-22 09:03:24.191686+00:00,-OYG0AVnCqlEYbiUuG2Z
-0.55,0.0,0.31,2025-08-22 09:03:25.193890+00:00,-OYG0Aks-83S84a1WQjt
-0.55,0.0,0.31,2025-08-22 09:03:26.196042+00:00,-OYG0B-3RiTDw6nQALCJ
-0.55,0.0,0.31,2025-08-22 09:03:27.198268+00:00,-OYG0BF5FIIJrIybshsv
-0.55,0.06,0.37,2025-08-22 09:03:28.200649+00:00,-OYG0BUVJql7DZ5HaGDu
-0.55,0.0,0.37,2025-08-22 09:03:29.202734+00:00,-OYG0BjXTIzq6jFkkwBm
-0.67,0.0,0.31,2025-08-22 09:03:30.204966+00:00,-OYG0Byn1lDnEIiHtDz_
-0.49,0.0,0.31,2025-08-22 09:03:31.207416+00:00,-OYG0CEEMQRwVs7ggwST
-0.49,0.0,0.31,2025-08-22 09:03:32.209585+00:00,-OYG0CT7BIDkw8E71uQO
-0.55,0.0,0.31,2025-08-22 09:03:33.211872+00:00,-OYG0CiEgaXmvKtp_dpA
-0.55,0.0,0.31,2025-08-22 09:03:34.213938+00:00,-OYG0CxS8BjFJh-NL8h1
-0.55,0.0,0.37,2025-08-22 09:03:35.216158+00:00,-OYG0DC_C98dLFeOvoQ0
-0.55,0.0,0.37,2025-08-22 09:03:36.218401+00:00,-OYG0DS8XkvpPBB__RL-
-0.49,0.12,0.31,2025-08-22 09:03:37.220640+00:00,-OYG0Dh1GtHKQIdDxFCE
-0.55,0.0,0.31,2025-08-22 09:03:38.222929+00:00,-OYG0DwP7DlW5wLBuSqQ
-0.55,0.0,0.37,2025-08-22 09:03:39.225168+00:00,-OYG0EB2rgxKhIPkTGyz
-0.49,0.0,0.31,2025-08-22 09:03:40.227370+00:00,-OYG0ERPP-4iFHlZjwJI
-0.49,0.0,0.31,2025-08-22 09:03:41.229643+00:00,-OYG0EfkL3LJNB22K7Dw
-0.55,0.0,0.31,2025-08-22 09:03:42.231999+00:00,-OYG0Ew89fROgJtqwNZU
-0.49,0.06,0.31,2025-08-22 09:03:43.234223+00:00,-OYG0F9cu1PZuDiPKanh
-0.55,0.0,0.37,2025-08-22 09:03:44.236558+00:00,-OYG0FOz5ToyKxlpGnuF
-0.61,0.0,0.37,2025-08-22 09:03:45.238899+00:00,-OYG0FdVvm-rxCLIiktU
-0.61,0.0,0.37,2025-08-22 09:03:46.241107+00:00,-OYG0Fu2UPSmwf_INlX0
-0.55,0.0,0.31,2025-08-22 09:03:47.243324+00:00,-OYG0G8nudruKlU7AO2W
-0.55,0.0,0.31,2025-08-22 09:03:48.245323+00:00,-OYG0GNYOLkM853RUK7c
-0.55,0.0,0.31,2025-08-22 09:03:49.247521+00:00,-OYG0GcECYsQRP7dI4tj
-0.55,0.0,0.37,2025-08-22 09:03:50.249958+00:00,-OYG0GrsAAoSRatr8_S3
-0.55,0.0,0.31,2025-08-22 09:03:51.252196+00:00,-OYG0H7fc1vlO871J5Vs
-0.49,0.0,0.37,2025-08-22 09:03:52.254428+00:00,-OYG0HMo9is33EXnnxXE
-0.55,0.0,0.31,2025-08-22 09:03:53.256604+00:00,-OYG0Hb2x-ZXVx5aRYNE
-0.55,-0.06,0.37,2025-08-22 09:03:54.258864+00:00,-OYG0HqqEFb5k-OU3540
-0.61,0.0,0.37,2025-08-22 09:03:55.261019+00:00,-OYG0I56IoT6RYVcZXcW
-0.55,0.0,0.31,2025-08-22 09:03:56.263189+00:00,-OYG0ILJ37qwx1J-6y0c
-0.43,0.06,0.31,2025-08-22 09:03:57.265411+00:00,-OYG0I_uh2rvg-M_F_vX
-0.55,0.0,0.31,2025-08-22 09:03:58.267624+00:00,-OYG0IqPrYgfWu2aXOGI
-0.55,0.06,0.37,2025-08-22 09:03:59.269835+00:00,-OYG0J47Yeapm8MNj3Q-
12.45,-70.01,17.88,2025-08-22 09:04:00.272110+00:00,-OYG0JK-oEssWDTIahib
26.92,-28.26,-41.38,2025-08-22 09:04:01.274488+00:00,-OYG0JZg0KGSNgKv3N46
-5.07,45.41,34.61,2025-08-22 09:04:02.276701+00:00,-OYG0JpEjT6A0YnmnUkE
4.64,1.71,-17.82,2025-08-22 09:04:03.278927+00:00,-OYG0K2_wrHY2UwI55fi
